especies;guia;comentarios
Tawny-breasted Tinamou;guango;
Torrent Duck;guango;
Sickle-winged Guan;guango;
Andean Guan;guango;
Fasciated Tiger-Heron;guango;
Western Cattle-Egret;guango;
Osprey;guango;
Black-and-chestnut Eagle;guango;
Sharp-shinned Hawk;guango;
Roadside Hawk;guango;
White-rumped Hawk;guango;
Broad-winged Hawk;guango;
White-throated Hawk;guango;
Spotted Sandpiper;guango;
Band-tailed Pigeon;guango;
White-throated Quail-Dove;guango;
Greater Ani;guango;
White-throated Screech-Owl;guango;
Andean Pygmy-Owl;guango;
Rufous-banded Owl;guango;
Rufous-bellied Nighthawk;guango;
Band-winged Nightjar;guango;
Andean Potoo;guango;
Chestnut-collared Swift;guango;
White-collared Swift;guango;
Green-fronted Lancebill;guango;
Lesser Violetear;guango;
Sparkling Violetear;guango;
Tourmaline Sunangel;guango;
Speckled Hummingbird;guango;
Long-tailed Sylph;guango;
Mountain Avocetbill;guango;
Purple-backed Thornbill;guango;
Tyrian Metaltail;guango;
Glowing Puffleg;guango;
Golden-breasted Puffleg;guango;
Shining Sunbeam;guango;
Collared Inca;guango;
Buff-winged Starfrontlet;guango;
Mountain Velvetbreast;guango;
Sword-billed Hummingbird;guango;
Great Sapphirewing;guango;
Buff-tailed Coronet;guango;
Chestnut-breasted Coronet;guango;
Fawn-breasted Brilliant;guango;
White-bellied Woodstar;guango;
Gorgeted Woodstar;guango;
Golden-headed Quetzal;guango;
Crested Quetzal;guango;
Masked Trogon;guango;
Andean Motmot;guango;
Gray-breasted Mountain-Toucan;guango;
Black-billed Mountain-Toucan;guango;
Bar-bellied Woodpecker;guango;
Crimson-mantled Woodpecker;guango;
Powerful Woodpecker;guango;
Peregrine Falcon;guango;
Barred Parakeet;guango;
Speckle-faced Parrot;guango;
Scaly-naped Parrot;guango;Few records
Streak-headed Antbird;guango;
Chestnut-crowned Antpitta;guango;
Chestnut-naped Antpitta;guango;
Equatorial Antpitta;guango;
Slate-crowned Antpitta;guango;
Ocellated Tapaculo;guango;
Ash-colored Tapaculo;guango;
Blackish Tapaculo;guango;
Spillmann's Tapaculo;guango;
Barred Antthrush;guango;
Tyrannine Woodcreeper;guango;
Strong-billed Woodcreeper;guango;
Montane Woodcreeper;guango;
Streaked Tuftedcheek;guango;
Flammulated Treehunter;guango;
Pearled Treerunner;guango;
White-browed Spinetail;guango;
Rufous Spinetail;guango;
White-banded Tyrannulet;guango;
Tufted Tit-Tyrant;guango;
Agile Tit-Tyrant;guango;
Torrent Tyrannulet;guango;
Rufous-breasted Flycatcher;guango;
Black-capped Flycatcher;guango;Uncommon with canopy flocks
Tawny-rumped Flycatcher;guango;Sometimes seen around the lodge
Rufous-headed Pygmy-Tyrant;guango;
Rufous-crowned Tody-Flycatcher;guango;
Cinnamon Flycatcher;guango;
Olive-sided Flycatcher;guango;Rare boreal migrant
Smoke-colored Pewee;guango;
Western Wood-Pewee;guango;
Black Phoebe;guango;
Smoky Bush-Tyrant;guango;
Chestnut-bellied Chat-Tyrant;guango;
Rufous-breasted Chat-Tyrant;guango;
Green-and-black Fruiteater;guango;
Barred Fruiteater;guango;
Red-crested Cotinga;guango;
Dusky Piha;guango;
Barred Becard;guango;
Brown-capped Vireo;guango;
Black-billed Peppershrike;guango;
Turquoise Jay;guango;
Green Jay;guango;
Blue-and-white Swallow;guango;
Pale-footed Swallow;guango;
Brown-bellied Swallow;guango;
Mountain Wren;guango;
Plain-tailed Wren;guango;
Rufous Wren;guango;
Gray-breasted Wood-Wren;guango;
White-capped Dipper;guango;
Slaty-backed Nightingale-Thrush;guango;
Swainson's Thrush;guango;
Great Thrush;guango;
Glossy-black Thrush;guango;
American Redstart;guango;
Blackburnian Warbler;guango;
Citrine Warbler;guango;
Black-crested Warbler;guango;
Russet-crowned Warbler;guango;
Canada Warbler;guango;
Spectacled Redstart;guango;
White-capped Tanager;guango;
Black-capped Hemispingus;guango;
Superciliaried Hemispingus;guango;
Black-eared Hemispingus;guango;
Black-headed Hemispingus;guango;
Pink-billed Cnemoscopus;guango;
Hooded Mountain Tanager;guango;
Grass-green Tanager;guango;
Lacrimose Mountain Tanager;guango;
Scarlet-bellied Mountain Tanager;guango;
Buff-banded Mountain Tanager;guango;
Fawn-breasted Tanager;guango;
Blue-and-black Tanager;guango;
Beryl-spangled Tanager;guango;
Paradise Tanager;guango;
Cinereous Conebill;guango;
Blue-backed Conebill;guango;
Capped Conebill;guango;
Glossy Flowerpiercer;guango;
White-sided Flowerpiercer;guango;
Masked Flowerpiercer;guango;
Plushcap;guango;
Black-backed Bush Tanager;guango;
Slaty Finch;guango;
Paramo Seedeater;guango;
Chestnut-capped Brushfinch;guango;
Gray-browed Brushfinch;guango;
Pale-naped Brushfinch;guango;
White-rimmed Brushfinch;guango;
Northern Slaty Brushfinch;guango;
Rufous-collared Sparrow;guango;
Red-hooded Tanager;guango;
Yellow-billed Cacique;guango;
Mountain Cacique;guango;
Chestnut-breasted Chlorophonia;guango;
Hooded Siskin;guango;
